[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:24] 46 89 19 89 04 ca 88 7f 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 88 ea 88 cc ca 88 80 69 68 8a 69 68 8a 69 68 8a 68 8a 46 
[08:50:24] 46 88 a0 88 65 ca 88 81 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 88 1f 87 d5 ca 88 82 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 87 8d 87 4b ca 88 83 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 87 0f 86 d9 ca 88 84 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 86 ab 86 86 ca 88 85 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 86 67 86 4c ca 88 86 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:24] 46 86 30 86 19 ca 88 87 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:25] 46 85 f5 85 eb ca 88 88 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:25] 46 85 e6 85 e3 ca 88 89 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:25] 46 85 df 85 d5 ca 88 8a 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:25] 46 85 c2 85 a5 ca 88 8b 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:25] 46 85 81 85 5c ca 88 8c 69 68 8a 69 68 8a 69 68 8a 6a 68 8a 
[08:50:25] 46 85 3d 85 24 ca 88 8d 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:25] 46 85 12 85 05 ca 88 8e 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:25] 46 84 f9 84 f0 ca 88 8f 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:25] 46 84 e8 84 e2 ca 88 90 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:25] 46 84 e2 84 e5 ca 88 91 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:25] 46 84 ec 84 f1 ca 88 92 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
